Cluster,person_w_disabilty___1,person_w_disabilty___2,person_w_disabilty___3,person_w_disabilty___4,person_w_disabilty___5,person_w_disabilty___6,person_w_disabilty___7,activities_access___1,activities_access___2,activities_access___3,activities_access___4,activities_access___5,activities_access___6,income,age,zip_cd
C1,0,0,1,1,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.2857142857142857,0.2847523717639492
C1,0,0,1,1,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.42857142857142855,0.2773858337353272
C1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.2857142857142857,0.20270541887763305
C1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.5,0.2857142857142857,0.17142024441228493
C1,0,1,0,0,1,0,0,0,1,0,0,1,0,0.5,0.2857142857142857,0.31214825534651874
C1,0,1,0,0,1,0,0,0,1,0,0,1,0,0.5,0.2857142857142857,0.24273396044380124
C1,1,0,1,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0.2857142857142857,0.9868748995015275
C1,1,0,0,0,1,0,0,0,1,0,0,1,0,0.3333333333333333,0.2857142857142857,0.9623532722302621
C1,1,0,0,0,0,0,0,1,1,0,0,1,0,0.6666666666666666,0.42857142857142855,0.3330217880688213
C3,0,0,0,1,0,0,1,1,1,0,0,1,0,0.6666666666666666,1.0,0.15288832609744332
C1,0,1,1,1,0,1,0,1,1,0,0,1,0,0.6666666666666666,0.42857142857142855,0.6091011416626467
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.5,0.2857142857142857,0.2124939700916546
C1,0,0,1,0,1,0,0,0,0,1,0,1,0,0.6666666666666666,0.42857142857142855,0.17142024441228493
C1,0,0,1,0,1,0,0,0,0,1,0,1,0,0.6666666666666666,0.42857142857142855,0.2765014471780029
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.3333333333333333,0.2857142857142857,0.33303183791606367
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.5,0.2857142857142857,0.28346599131693195
C1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.6666666666666666,0.42857142857142855,0.9046972986010613
C1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.6666666666666666,0.7142857142857142,0.35649823122688534
C1,0,1,0,0,0,0,0,1,0,1,0,1,0,0.6666666666666666,0.8571428571428571,0.9196012220614247
C1,0,0,0,1,0,0,0,1,0,1,0,1,0,0.5,0.42857142857142855,0.9224654285254864
C1,0,0,0,1,0,0,0,1,0,1,0,1,0,1.0,0.42857142857142855,0.08865975237176395
C1,1,0,0,0,0,0,0,1,0,1,0,1,0,0.8333333333333333,0.8571428571428571,0.6075836147290561
C1,0,0,0,1,0,0,0,1,0,1,0,1,0,0.3333333333333333,0.5714285714285714,0.15312952243125905
C2,0,0,1,1,1,1,0,1,0,1,0,1,0,0.0,0.8571428571428571,0.29732473066409393
C1,0,1,1,1,0,0,0,1,0,1,0,1,0,0.16666666666666666,0.14285714285714285,0.7560299083453932
C2,0,1,0,1,1,1,0,1,0,1,0,1,0,0.0,1.0,0.15307927319504744
C1,0,0,1,0,1,0,0,0,1,1,0,1,0,0.6666666666666666,0.42857142857142855,0.10050852227046149
C1,0,0,1,1,0,0,0,0,1,1,0,1,0,0.5,0.42857142857142855,0.13568298761858819
C2,0,0,1,0,1,1,0,1,1,1,0,1,0,0.0,0.5714285714285714,0.07050972825213056
C1,0,0,0,1,0,0,0,0,0,0,1,1,0,0.3333333333333333,0.42857142857142855,0.8104498311625663
C2,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.8571428571428571,0.15307927319504744
C3,0,1,0,1,1,1,0,1,0,0,1,1,0,1.0,0.7142857142857142,0.9050490432545425
C3,0,0,1,1,1,1,0,1,0,0,1,1,0,1.0,0.7142857142857142,0.9818801254220936
C5,0,0,0,1,0,0,0,1,0,0,1,1,0,0.5,0.8571428571428571,0.7349654285254864
C5,0,0,0,1,0,0,0,1,0,0,1,1,0,0.6666666666666666,0.8571428571428571,0.8572620196173018
C2,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0,0.8571428571428571,0.15176274320630326
C3,0,0,0,1,0,0,0,1,0,0,1,1,0,1.0,1.0,0.5182304228975719
C2,0,1,0,1,0,1,0,1,0,0,1,1,0,0.3333333333333333,0.14285714285714285,0.11285978453127513
C2,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,1.0,0.16146084579514391
C1,0,0,0,1,0,0,0,1,0,0,1,1,0,0.6666666666666666,0.42857142857142855,0.6083373532722303
C3,1,0,0,1,1,1,0,1,0,0,1,1,0,0.6666666666666666,0.5714285714285714,0.47213177359704134
C5,0,0,0,1,0,0,0,1,0,0,1,1,0,0.3333333333333333,0.7142857142857142,0.9300530631934394
C1,1,0,0,0,0,0,0,0,1,0,1,1,0,0.3333333333333333,0.2857142857142857,0.3317957067052581
C3,0,0,0,1,0,0,0,0,1,0,1,1,0,0.5,0.8571428571428571,0.3739347161923139
C1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.6666666666666666,0.8571428571428571,0.5567715870718765
C3,1,0,0,0,0,1,0,1,1,0,1,1,0,1.0,1.0,0.07678083293133944
C1,1,1,1,1,1,0,0,1,1,0,1,1,0,0.0,0.42857142857142855,0.08930294259527255
C1,1,0,0,1,0,1,0,1,1,0,1,1,0,0.0,0.5714285714285714,0.07498191027496381
C3,0,0,0,1,0,0,0,1,1,0,1,1,0,0.6666666666666666,0.8571428571428571,0.16784249879401833
C3,1,0,1,1,0,0,0,1,1,0,1,1,0,0.3333333333333333,0.8571428571428571,0.08766481749477407
C1,0,0,0,1,0,0,0,1,1,0,1,1,0,1.0,0.2857142857142857,0.44627351664254705
C2,0,0,0,0,0,0,1,1,1,0,1,1,0,0.0,1.0,0.15307927319504744
C2,0,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0.8571428571428571,0.15312952243125905
C3,0,0,0,0,0,0,1,1,1,0,1,1,0,0.8333333333333333,0.8571428571428571,0.9863322077504422
C3,0,0,0,1,0,1,1,1,1,0,1,1,0,0.5,1.0,0.1521446374015115
C3,0,0,0,1,0,1,0,1,1,0,1,1,0,0.8333333333333333,0.8571428571428571,0.6092217398295546
C1,1,1,1,1,1,0,0,1,1,0,1,1,0,0.16666666666666666,0.7142857142857142,0.9417008361472905
C4,0,0,1,0,0,1,0,0,0,1,1,1,0,1.0,0.8571428571428571,0.08592619392185238
C2,0,0,1,0,1,1,0,1,0,1,1,1,0,0.16666666666666666,0.7142857142857142,0.07146446374015115
C4,0,0,1,0,0,0,0,1,0,1,1,1,0,0.16666666666666666,0.2857142857142857,0.07067052580800771
C4,0,0,1,0,0,0,0,1,0,1,1,1,0,1.0,0.8571428571428571,0.07967518893712816
C4,0,0,0,1,1,1,0,1,1,1,1,1,0,0.5,0.42857142857142855,0.05427922495578067
C4,0,0,0,0,0,1,0,1,1,1,1,1,0,0.8333333333333333,0.7142857142857142,0.15678766682746423
C4,0,1,0,0,0,0,0,1,1,1,1,1,0,0.3333333333333333,0.7142857142857142,0.15292852548641261
C4,1,0,1,0,0,0,0,1,1,1,1,1,0,0.0,0.0,0.11775406013828589
C1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0.2857142857142857,0.17197298601061264
C1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.42857142857142855,0.08584579514391381
C1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.6666666666666666,0.5714285714285714,0.28592820389130086
C1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,0.42857142857142855,0.9347664415500884
C1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0.14285714285714285,0.9458715227528541
C1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.5714285714285714,0.15302902395883583
C1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,0.42857142857142855,0.15312952243125905
C1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0.7142857142857142,0.15284812670847403
C3,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8333333333333333,0.8571428571428571,0.6031516320951922
C1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6666666666666666,0.42857142857142855,0.6030611834700113
C2,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.8571428571428571,0.6070308731307285
C1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.6666666666666666,0.5714285714285714,0.19202243125904486
C3,0,0,0,1,1,1,0,1,0,0,0,0,1,1.0,0.8571428571428571,0.5384205660073966
C1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.8333333333333333,0.8571428571428571,0.15197378999839203
